id,author-name,book-title,subgenre,year,year-cat,canon-cat,gender-cat,length,length-cat,counter,Author-birth,Author-death,GND,author_wikidata_id,work_wikidata_id
DEU001,"Willkomm, Ernst Adolf",Weisse Sclaven oder die Leiden des Volkes,foo,1845,T1,low,m,322371,long,1,1810,1886,http://d-nb.info/gnd/11739467X,Q126789,Q111239632
DEU002,"Auerbach, Berthold",Der Lehnhold,foo,1854,T1,low,m,66067,medium,1,1812,1882,http://d-nb.info/gnd/11865103X,Q76715,Q111239461
DEU003,"Ruppius, Otto",Der Pedlar,foo,1857,T1,low,m,89800,medium,1,1819,1864,http://d-nb.info/gnd/116708859,Q2040358,Q111239466
DEU004,"Otto, Louise",Nürnberg. Zweiter Band,foo,1858,T1,low,f,56702,medium,1,1819,1895,http://d-nb.info/gnd/118590901,Q71507,Q111239600
DEU005,"Kurz, Hermann",Der Sonnenwirt,foo,1854,T1,high,m,216063,long,1,1813,1873,http://d-nb.info/gnd/118778277,Q95193,Q111239469
DEU006,"Weerth, Georg",Fragment eines Romans,foo,1846,T1,low,m,60551,medium,1,1822,1856,http://d-nb.info/gnd/117208612,Q78000,Q107000830
DEU007,"Stifter, Adalbert",Die Mappe meines Urgroßvaters,foo,1841,T1,high,m,82220,medium,1,1805,1868,http://d-nb.info/gnd/118618156,Q168542,Q111239487
DEU008,"Auerbach, Berthold",Der Lautenbacher,foo,1843,T1,low,m,31603,short,1,1812,1882,http://d-nb.info/gnd/11865103X,Q76715,Q111239460
DEU009,"Ruppius, Otto",Das Vermächtnis des Pedlars,foo,1859,T1,low,m,97300,medium,1,1819,1864,http://d-nb.info/gnd/116708859,Q2040358,Q111239454
DEU010,"Aston, Louise",Lydia,foo,1848,T1,low,f,61819,medium,1,1814,1871,http://d-nb.info/gnd/118650769,Q67888,Q111239590
DEU011,"Freytag, Gustav",Soll und Haben,foo,1855,T1,high,m,344948,long,1,1816,1895,http://d-nb.info/gnd/118535455,Q58811,Q2298931
DEU012,"Aston, Louise",Aus dem Leben einer Frau,foo,1847,T1,high,f,27975,short,1,1814,1871,http://d-nb.info/gnd/118650769,Q67888,Q101323690
DEU013,"Auerbach, Berthold",Barfüßele,foo,1856,T1,low,m,76008,medium,1,1812,1882,http://d-nb.info/gnd/11865103X,Q76715,Q808120
DEU014,"Tieck, Ludwig",Vittoria Accorombona,foo,1840,T1,high,m,123077,long,1,1773,1853,http://d-nb.info/gnd/12989432X,Q57239,Q1403207
DEU015,"Arnim, Bettina von",Die Günderode,foo,1840,T1,high,f,176011,long,1,1785,1859,http://d-nb.info/gnd/118504185,Q57236,Q42190652
DEU016,"Gerstäcker, Friedrich",Die Regulatoren in Arkansas. Aus dem Waldleben Amerikas,foo,1846,T1,low,m,183061,long,1,1816,1872,http://d-nb.info/gnd/118538810,Q77478,Q110879272
DEU017,"Stifter, Adalbert",Die Narrenburg,foo,1843,T1,medium,m,41879,short,1,1805,1868,http://d-nb.info/gnd/118618156,Q168542,Q21328513
DEU018,"Schopenhauer, Adele",Anna,foo,1845,T1,low,f,105286,long,1,1797,1849,http://d-nb.info/gnd/11880510X,Q75090,Q111239424
DEU019,"Stifter, Adalbert",Zwei Schwestern,foo,1846,T1,medium,m,58315,medium,1,1805,1868,http://d-nb.info/gnd/118618156,Q168542,Q110757065
DEU020,"Hahn-Hahn, Ida Gräfin von",Sibylle,foo,1846,T1,low,f,131733,long,1,1805,1880,http://d-nb.info/gnd/118544918,Q92101,Q111239613
DEU021,"Lewald, Fanny",Jenny,foo,1843,T1,low,f,111473,long,1,1811,1889,http://d-nb.info/gnd/118572393,Q77318,Q111239566
DEU022,"Arnim, Bettina von",Clemens Brentanos Frühlingskranz,foo,1844,T1,high,f,108645,long,1,1785,1859,http://d-nb.info/gnd/118572393,Q77318,Q42187988
DEU023,"Stifter, Adalbert",Feldblumen,foo,1841,T1,high,m,43934,short,1,1805,1868,http://d-nb.info/gnd/118618156,Q168542,Q111239504
DEU024,"Gutzkow, Karl",Der Zauberer von Rom,foo,1858,T1,low,m,894081,long,1,1811,1878,http://d-nb.info/gnd/118543830,Q76755,Q111239475
